Time,Latitude,Longitude,Altitude,Heading_Angle,Path_Angle,LOS_Angle_Lat,LOS_Angle_Lon,Command_Lat,Command_Lon
4838,47.2863,-70.6258,0,0,0,41.2031,3.60696,0,0
4839,47.2863,-70.6258,70000,41.2031,0,41.1965,-0.300526,0,0
4840,47.2863,-70.6258,70000,41.1965,0,41.1897,-0.301591,39.2,0
4841,47.3036,-70.6031,70000,42.0603,0,41.1976,-0.303426,39.2,0
4842,47.3206,-70.5801,70000,42.9242,0,41.204,-0.305278,39.2,0
4843,47.3374,-70.5567,70000,43.788,0,41.2083,-0.307154,39.2,0
4844,47.354,-70.5329,70000,44.6519,0,41.2107,-0.309043,39.2,0
4845,47.3703,-70.5088,70000,45.5157,0,41.2109,-0.310958,39.2,0
4846,47.3864,-70.4843,70000,46.3796,0,41.2094,-0.312889,39.2,0
4847,47.4022,-70.4594,70000,47.2434,0,41.2055,-0.314836,39.2,0
4848,47.4177,-70.4341,70000,48.1072,0,41.199,-0.316811,39.2,0
4849,47.433,-70.4085,70000,48.9711,0,41.191,-0.318801,39.2,0
4850,47.4481,-70.3826,70000,49.8349,0,41.1803,-0.320807,39.2,0
4851,47.4628,-70.3563,70000,50.6988,0,41.1675,-0.322838,39.2,0
4852,47.4773,-70.3297,70000,51.5626,0,41.1526,-0.324882,39.2,0
4853,47.4915,-70.3028,70000,52.4265,0,41.1351,-0.326952,39.2,0
4854,47.5055,-70.2755,70000,53.2903,0,41.1151,-0.329043,39.2,0
4855,47.5192,-70.248,70000,54.1542,0,41.0926,-0.331154,39.2,0
4856,47.5326,-70.2201,70000,55.018,0,41.0677,-0.333279,39.2,0
4857,47.5457,-70.1919,70000,55.8818,0,41.0401,-0.33543,39.2,0
4858,47.5585,-70.1634,70000,56.7457,0,41.0104,-0.337599,39.2,0
4859,47.571,-70.1346,70000,57.6095,0,40.9774,-0.339786,39.2,0
4860,47.5832,-70.1056,70000,58.4734,0,40.942,-0.341999,39.2,0
4861,47.5952,-70.0762,70000,59.3372,0,40.9039,-0.344231,39.2,0
4862,47.6068,-70.0466,70000,60.2011,0,40.8633,-0.346482,39.2,0
4863,47.6181,-70.0168,70000,61.0649,0,40.8195,-0.348749,39.2,0
4864,47.6291,-69.9867,70000,61.9288,0,40.773,-0.351042,39.2,0
4865,47.6399,-69.9563,70000,62.7926,0,40.7238,-0.353354,39.2,0
4866,47.6503,-69.9257,70000,63.6564,0,40.6716,-0.355687,39.2,0
4867,47.6604,-69.8948,70000,64.5203,0,40.6163,-0.358041,39.2,0
4868,47.6701,-69.8637,70000,65.3841,0,40.5587,-0.36041,39.2,0
4869,47.6796,-69.8324,70000,66.248,0,40.4975,-0.362804,39.2,0
4870,47.6887,-69.8009,70000,67.1118,0,40.433,-0.365218,39.2,0
4871,47.6976,-69.7692,70000,67.9757,0,40.3658,-0.36765,39.2,0
4872,47.7061,-69.7373,70000,68.8395,0,40.2948,-0.370105,39.2,0
4873,47.7143,-69.7052,70000,69.7033,0,40.2213,-0.372576,39.2,0
4874,47.7221,-69.6729,70000,70.5672,0,40.1444,-0.375067,39.2,0
4875,47.7296,-69.6404,70000,71.431,0,40.0636,-0.377581,39.2,0
4876,47.7368,-69.6078,70000,72.2949,0,39.9802,-0.38011,39.2,0
4877,47.7437,-69.575,70000,73.1587,0,39.893,-0.382661,39.2,0
4878,47.7502,-69.542,70000,74.0226,0,39.8026,-0.385229,39.2,0
4879,47.7564,-69.5089,70000,74.8864,0,39.7086,-0.387816,39.2,0
4880,47.7622,-69.4757,70000,75.7503,0,39.6116,-0.390427,39.2,0
4881,47.7678,-69.4423,70000,76.6141,0,39.5107,-0.39305,39.2,0
4882,47.7729,-69.4088,70000,77.4779,0,39.4061,-0.395685,39.2,0
4883,47.7778,-69.3752,70000,78.3418,0,39.2984,-0.398349,39.2,0
4884,47.7823,-69.3414,70000,79.2056,0,39.1869,-0.401031,39.2,0
4885,47.7864,-69.3076,70000,80.0695,0,39.0714,-0.403717,39.2,0
4886,47.7903,-69.2737,70000,80.9333,0,38.9527,-0.406432,39.2,0
4887,47.7937,-69.2397,70000,81.7972,0,38.8301,-0.409157,39.2,0
4888,47.7968,-69.2056,70000,82.661,0,38.7036,-0.411905,39.2,0
4889,47.7996,-69.1715,70000,83.5249,0,38.5733,-0.414663,39.2,0
4890,47.8021,-69.1373,70000,84.3887,0,38.4393,-0.417441,39.2,0
4891,47.8041,-69.103,70000,85.2525,0,38.3014,-0.420226,39.2,0
4892,47.8059,-69.0687,70000,86.1164,0,38.1594,-0.423027,39.2,0
