Time,Latitude,Longitude,Altitude,Heading_Angle,Path_Angle,LOS_Angle_Lat,LOS_Angle_Lon,Command_Lat,Command_Lon
4838,46.4445,-71.9328,0,0,0,40.9564,3.18544,0,0
4839,46.4445,-71.9328,70000,40.9564,0,40.9523,-0.265245,0,0
4840,46.4445,-71.9328,70000,40.9523,0,40.948,-0.2661,-39.2,0
4841,46.462,-71.911,70000,40.0884,0,40.9598,-0.267554,-39.2,0
4842,46.4798,-71.8896,70000,39.2246,0,40.9735,-0.269018,-39.2,0
4843,46.4978,-71.8686,70000,38.3607,0,40.9889,-0.270501,-18.0052,0
4844,46.516,-71.8479,70000,37.964,0,41.0056,-0.271991,7.3954,0
4845,46.5342,-71.8272,70000,38.1269,0,41.0225,-0.273501,27.3832,0
4846,46.5523,-71.8063,70000,38.7304,0,41.039,-0.275022,39.2,0
4847,46.5702,-71.7851,70000,39.5942,0,41.0539,-0.276555,39.2,0
4848,46.5879,-71.7635,70000,40.4581,0,41.0668,-0.278109,39.2,0
4849,46.6053,-71.7415,70000,41.3219,0,41.0786,-0.279675,39.2,0
4850,46.6226,-71.7191,70000,42.1857,0,41.0884,-0.281252,39.2,0
4851,46.6396,-71.6963,70000,43.0496,0,41.0966,-0.282848,39.2,0
4852,46.6563,-71.6731,70000,43.9134,0,41.1031,-0.284452,39.2,0
4853,46.6729,-71.6496,70000,44.7773,0,41.1077,-0.286078,39.2,0
4854,46.6891,-71.6257,70000,45.6411,0,41.1103,-0.287719,39.2,0
4855,46.7052,-71.6014,70000,46.505,0,41.111,-0.289375,39.2,0
4856,46.7209,-71.5768,70000,47.3688,0,41.11,-0.291041,39.2,0
4857,46.7365,-71.5518,70000,48.2327,0,41.1068,-0.292728,39.2,0
4858,46.7517,-71.5265,70000,49.0965,0,41.1021,-0.294427,39.2,0
4859,46.7667,-71.5009,70000,49.9603,0,41.0948,-0.296139,39.2,0
4860,46.7814,-71.4749,70000,50.8242,0,41.0856,-0.297872,39.2,0
4861,46.7959,-71.4486,70000,51.688,0,41.0744,-0.299619,39.2,0
4862,46.8101,-71.4219,70000,52.5519,0,41.0613,-0.30138,39.2,0
4863,46.824,-71.395,70000,53.4157,0,41.0457,-0.303153,39.2,0
4864,46.8376,-71.3677,70000,54.2796,0,41.0281,-0.304946,39.2,0
4865,46.851,-71.3401,70000,55.1434,0,41.0084,-0.306753,39.2,0
4866,46.864,-71.3123,70000,56.0072,0,40.9863,-0.308576,39.2,0
4867,46.8768,-71.2841,70000,56.8711,0,40.9619,-0.310416,39.2,0
4868,46.8893,-71.2557,70000,57.7349,0,40.9357,-0.312266,39.2,0
4869,46.9015,-71.2269,70000,58.5988,0,40.9067,-0.314135,39.2,0
4870,46.9134,-71.198,70000,59.4626,0,40.8752,-0.316021,39.2,0
4871,46.9249,-71.1687,70000,60.3265,0,40.8416,-0.317919,39.2,0
4872,46.9362,-71.1392,70000,61.1903,0,40.805,-0.319836,39.2,0
4873,46.9472,-71.1094,70000,62.0542,0,40.7665,-0.321764,39.2,0
4874,46.9579,-71.0794,70000,62.918,0,40.7255,-0.323707,39.2,0
4875,46.9682,-71.0491,70000,63.7818,0,40.6813,-0.32567,39.2,0
4876,46.9783,-71.0186,70000,64.6457,0,40.6351,-0.327643,39.2,0
4877,46.988,-70.9879,70000,65.5095,0,40.586,-0.329634,39.2,0
4878,46.9974,-70.957,70000,66.3734,0,40.5344,-0.331638,39.2,0
4879,47.0065,-70.9259,70000,67.2372,0,40.48,-0.333658,39.2,0
4880,47.0153,-70.8945,70000,68.1011,0,40.4233,-0.335695,39.2,0
4881,47.0238,-70.863,70000,68.9649,0,40.3635,-0.337743,39.2,0
4882,47.0319,-70.8313,70000,69.8288,0,40.3009,-0.3398,39.2,0
4883,47.0397,-70.7994,70000,70.6926,0,40.2358,-0.341881,39.2,0
4884,47.0472,-70.7673,70000,71.5564,0,40.1678,-0.343976,39.2,0
4885,47.0543,-70.735,70000,72.4203,0,40.0966,-0.346075,39.2,0
4886,47.0611,-70.7026,70000,73.2841,0,40.0229,-0.348198,39.2,0
4887,47.0676,-70.6701,70000,74.148,0,39.9462,-0.350328,39.2,0
4888,47.0738,-70.6374,70000,75.0118,0,39.8664,-0.352479,39.2,0
4889,47.0796,-70.6045,70000,75.8757,0,39.7835,-0.354637,39.2,0
4890,47.085,-70.5716,70000,76.7395,0,39.6978,-0.356813,39.2,0
4891,47.0902,-70.5385,70000,77.6033,0,39.609,-0.358996,39.2,0
4892,47.095,-70.5053,70000,78.4672,0,39.5169,-0.361192,39.2,0
4893,47.0994,-70.472,70000,79.331,0,39.4223,-0.363403,39.2,0
4894,47.1035,-70.4386,70000,80.1949,0,39.3241,-0.365623,39.2,0
4895,47.1073,-70.4051,70000,81.0587,0,39.2233,-0.367857,39.2,0
4896,47.1107,-70.3715,70000,81.9226,0,39.1187,-0.3701,39.2,0
4897,47.1138,-70.3379,70000,82.7864,0,39.0113,-0.372358,39.2,0
4898,47.1165,-70.3042,70000,83.6503,0,38.9009,-0.374625,39.2,0
4899,47.1189,-70.2704,70000,84.5141,0,38.7872,-0.376896,39.2,0
4900,47.1209,-70.2366,70000,85.3779,0,38.6702,-0.379184,39.2,0
4901,47.1226,-70.2027,70000,86.2418,0,38.5498,-0.381483,39.2,0
4902,47.1239,-70.1688,70000,87.1056,0,38.4263,-0.383782,39.2,0
4903,47.1249,-70.1349,70000,87.9695,0,38.2992,-0.386099,39.2,0
4904,47.1256,-70.101,70000,88.8333,0,38.1689,-0.388415,39.2,0
4905,47.1259,-70.067,70000,89.6972,0,38.0361,-0.390749,39.2,0
4906,47.1258,-70.0331,70000,90.561,0,37.899,-0.393082,39.2,0
4907,47.1254,-69.9991,70000,91.4249,0,37.7594,-0.395423,39.2,0
4908,47.1247,-69.9652,70000,92.2887,0,37.6158,-0.397768,39.2,0
4909,47.1236,-69.9313,70000,93.1525,0,37.4692,-0.400129,39.2,0
4910,47.1221,-69.8974,70000,94.0164,0,37.3193,-0.40249,39.2,0
4911,47.1203,-69.8635,70000,94.8802,0,37.1662,-0.404853,39.2,0
4912,47.1182,-69.8297,70000,95.7441,0,37.0088,-0.407218,39.2,0
4913,47.1157,-69.796,70000,96.6079,0,36.8491,-0.409588,39.2,0
4914,47.1129,-69.7623,70000,97.4718,0,36.6862,-0.411967,39.2,0
4915,47.1097,-69.7287,70000,98.3356,0,36.5194,-0.414344,39.2,0
4916,47.1062,-69.6951,70000,99.1995,0,36.3494,-0.416714,39.2,0
4917,47.1023,-69.6616,70000,100.063,0,36.1761,-0.419092,39.2,0
4918,47.0981,-69.6283,70000,100.927,0,35.9998,-0.421475,39.2,0
4919,47.0936,-69.595,70000,101.791,0,35.82,-0.423844,39.2,0
4920,47.0887,-69.5618,70000,102.655,0,35.637,-0.426227,39.2,0
4921,47.0834,-69.5288,70000,103.519,0,35.4509,-0.428606,39.2,0
4922,47.0779,-69.4959,70000,104.383,0,35.261,-0.43097,39.2,0
4923,47.072,-69.4631,70000,105.246,0,35.0687,-0.433333,39.2,0
4924,47.0657,-69.4304,70000,106.11,0,34.8727,-0.435702,39.2,0
4925,47.0591,-69.3979,70000,106.974,0,34.6739,-0.438057,39.2,0
4926,47.0522,-69.3655,70000,107.838,0,34.4718,-0.440406,39.2,0
4927,47.045,-69.3334,70000,108.702,0,34.267,-0.442762,39.2,0
4928,47.0374,-69.3013,70000,109.566,0,34.0589,-0.445095,39.2,0
4929,47.0295,-69.2695,70000,110.429,0,33.8476,-0.447421,39.2,0
4930,47.0213,-69.2378,70000,111.293,0,33.6334,-0.449745,39.2,0
4931,47.0127,-69.2063,70000,112.157,0,33.4165,-0.45205,39.2,0
4932,47.0039,-69.175,70000,113.021,0,33.1966,-0.454352,39.2,0
4933,46.9947,-69.144,70000,113.885,0,32.9736,-0.456634,39.2,0
4934,46.9852,-69.1131,70000,114.749,0,32.7479,-0.458913,39.2,0
4935,46.9753,-69.0825,70000,115.612,0,32.5201,-0.461173,39.2,0
4936,46.9652,-69.052,70000,116.476,0,32.2891,-0.463422,39.2,0
4937,46.9547,-69.0219,70000,117.34,0,32.0553,-0.465648,39.2,0
4938,46.944,-68.9919,70000,118.204,0,31.8193,-0.467863,39.2,0
4939,46.9329,-68.9622,70000,119.068,0,31.5807,-0.470063,39.2,0
4940,46.9215,-68.9328,70000,119.932,0,31.3395,-0.472236,39.2,0
4941,46.9098,-68.9036,70000,120.796,0,31.0967,-0.474403,39.2,0
4942,46.8979,-68.8747,70000,121.659,0,30.8506,-0.476548,39.2,0
4943,46.8856,-68.846,70000,122.523,0,30.6025,-0.478661,39.2,0
4944,46.873,-68.8177,70000,123.387,0,30.3527,-0.48076,39.2,0
4945,46.8602,-68.7896,70000,124.251,0,30.1012,-0.482843,39.2,0
4946,46.847,-68.7618,70000,125.115,0,29.8465,-0.484892,39.2,0
4947,46.8336,-68.7343,70000,125.979,0,29.5908,-0.486929,39.2,0
4948,46.8199,-68.7072,70000,126.842,0,29.3331,-0.488934,39.2,0
4949,46.8059,-68.6803,70000,127.706,0,29.0735,-0.490914,39.2,0
4950,46.7916,-68.6538,70000,128.57,0,28.8126,-0.492866,39.2,0
4951,46.7771,-68.6275,70000,129.434,0,28.5495,-0.494794,39.2,0
4952,46.7623,-68.6017,70000,130.298,0,28.2853,-0.496702,39.2,0
4953,46.7472,-68.5761,70000,131.162,0,28.0196,-0.498572,39.2,0
4954,46.7318,-68.5509,70000,132.026,0,27.7534,-0.500419,39.2,0
4955,46.7163,-68.526,70000,132.889,0,27.4849,-0.502233,39.2,0
4956,46.7004,-68.5015,70000,133.753,0,27.2161,-0.504022,39.2,0
4957,46.6843,-68.4774,70000,134.617,0,26.9457,-0.505773,39.2,0
4958,46.668,-68.4536,70000,135.481,0,26.6748,-0.5075,39.2,0
4959,46.6514,-68.4302,70000,136.345,0,26.4029,-0.509178,39.2,0
