Time,Latitude,Longitude,Altitude,Heading_Angle,Path_Angle,LOS_Angle_Lat,LOS_Angle_Lon,Command_Lat,Command_Lon
4838,47.0771,-70.2743,0,0,0,39.5024,3.60529,0,0
4839,47.0771,-70.2743,70000,39.5024,0,39.4904,-0.300385,0,0
4840,47.0771,-70.2743,70000,39.4904,0,39.4782,-0.301447,39.2,0
4841,47.0948,-70.2525,70000,40.3542,0,39.48,-0.303278,39.2,0
4842,47.1123,-70.2303,70000,41.2181,0,39.4801,-0.305126,39.2,0
4843,47.1296,-70.2078,70000,42.0819,0,39.4781,-0.306999,39.2,0
4844,47.1466,-70.1848,70000,42.9458,0,39.4742,-0.308885,39.2,0
4845,47.1634,-70.1615,70000,43.8096,0,39.4681,-0.310795,39.2,0
4846,47.1799,-70.1378,70000,44.6734,0,39.4601,-0.312722,39.2,0
4847,47.1962,-70.1137,70000,45.5373,0,39.4497,-0.314666,39.2,0
4848,47.2123,-70.0892,70000,46.4011,0,39.4367,-0.316636,39.2,0
4849,47.2281,-70.0644,70000,47.265,0,39.4221,-0.318622,39.2,0
4850,47.2437,-70.0393,70000,48.1288,0,39.4048,-0.320623,39.2,0
4851,47.2589,-70.0138,70000,48.9927,0,39.3853,-0.322649,39.2,0
4852,47.274,-69.9879,70000,49.8565,0,39.3635,-0.324688,39.2,0
4853,47.2887,-69.9617,70000,50.7204,0,39.3392,-0.326753,39.2,0
4854,47.3032,-69.9352,70000,51.5842,0,39.3123,-0.328839,39.2,0
4855,47.3174,-69.9083,70000,52.448,0,39.2828,-0.330945,39.2,0
4856,47.3314,-69.8811,70000,53.3119,0,39.2509,-0.333064,39.2,0
4857,47.3451,-69.8536,70000,54.1757,0,39.2163,-0.33521,39.2,0
4858,47.3584,-69.8258,70000,55.0396,0,39.1794,-0.337373,39.2,0
4859,47.3715,-69.7977,70000,55.9034,0,39.1392,-0.339554,39.2,0
4860,47.3843,-69.7693,70000,56.7673,0,39.0965,-0.34176,39.2,0
4861,47.3968,-69.7407,70000,57.6311,0,39.0511,-0.343985,39.2,0
4862,47.4091,-69.7117,70000,58.4949,0,39.003,-0.346229,39.2,0
4863,47.421,-69.6825,70000,59.3588,0,38.9518,-0.348489,39.2,0
4864,47.4326,-69.6529,70000,60.2226,0,38.8978,-0.350774,39.2,0
4865,47.4439,-69.6232,70000,61.0865,0,38.841,-0.353078,39.2,0
4866,47.455,-69.5931,70000,61.9503,0,38.7811,-0.355403,39.2,0
4867,47.4657,-69.5629,70000,62.8142,0,38.7181,-0.357749,39.2,0
4868,47.4761,-69.5323,70000,63.678,0,38.6527,-0.360109,39.2,0
4869,47.4862,-69.5016,70000,64.5419,0,38.5835,-0.362494,39.2,0
4870,47.4959,-69.4706,70000,65.4057,0,38.5111,-0.364898,39.2,0
4871,47.5054,-69.4394,70000,66.2695,0,38.4359,-0.36732,39.2,0
4872,47.5145,-69.408,70000,67.1334,0,38.3568,-0.369765,39.2,0
4873,47.5233,-69.3764,70000,67.9972,0,38.2752,-0.372224,39.2,0
4874,47.5318,-69.3446,70000,68.8611,0,38.1901,-0.374704,39.2,0
4875,47.54,-69.3126,70000,69.7249,0,38.101,-0.377206,39.2,0
4876,47.5478,-69.2804,70000,70.5888,0,38.0092,-0.379722,39.2,0
4877,47.5554,-69.248,70000,71.4526,0,37.9136,-0.38226,39.2,0
4878,47.5625,-69.2155,70000,72.3165,0,37.8147,-0.384814,39.2,0
4879,47.5694,-69.1828,70000,73.1803,0,37.7121,-0.387388,39.2,0
4880,47.5759,-69.1499,70000,74.0441,0,37.6064,-0.389983,39.2,0
4881,47.5821,-69.1169,70000,74.908,0,37.4968,-0.392591,39.2,0
4882,47.5879,-69.0838,70000,75.7718,0,37.3835,-0.39521,39.2,0
4883,47.5934,-69.0505,70000,76.6357,0,37.2669,-0.397857,39.2,0
4884,47.5986,-69.0171,70000,77.4995,0,37.1465,-0.400522,39.2,0
4885,47.6034,-68.9836,70000,78.3634,0,37.022,-0.403189,39.2,0
4886,47.6079,-68.95,70000,79.2272,0,36.8942,-0.405885,39.2,0
4887,47.6121,-68.9163,70000,80.0911,0,36.7625,-0.40859,39.2,0
4888,47.6159,-68.8825,70000,80.9549,0,36.6268,-0.411318,39.2,0
4889,47.6193,-68.8486,70000,81.8187,0,36.4872,-0.414053,39.2,0
4890,47.6225,-68.8146,70000,82.6826,0,36.3439,-0.416808,39.2,0
4891,47.6252,-68.7806,70000,83.5464,0,36.1966,-0.41957,39.2,0
4892,47.6277,-68.7465,70000,84.4103,0,36.0452,-0.422346,39.2,0
4893,47.6297,-68.7124,70000,85.2741,0,35.8903,-0.42514,39.2,0
4894,47.6315,-68.6782,70000,86.138,0,35.7311,-0.427938,39.2,0
4895,47.6328,-68.644,70000,87.0018,0,35.5684,-0.430754,39.2,0
4896,47.6339,-68.6097,70000,87.8656,0,35.4009,-0.433576,39.2,0
4897,47.6346,-68.5754,70000,88.7295,0,35.2299,-0.436413,39.2,0
4898,47.6349,-68.5412,70000,89.5933,0,35.0551,-0.439258,39.2,0
4899,47.6349,-68.5069,70000,90.4572,0,34.876,-0.442104,39.2,0
4900,47.6345,-68.4726,70000,91.321,0,34.6928,-0.444966,39.2,0
4901,47.6338,-68.4383,70000,92.1849,0,34.5054,-0.447836,39.2,0
4902,47.6328,-68.4041,70000,93.0487,0,34.3142,-0.450703,39.2,0
4903,47.6314,-68.3699,70000,93.9126,0,34.1184,-0.453585,39.2,0
4904,47.6296,-68.3357,70000,94.7764,0,33.9188,-0.456463,39.2,0
4905,47.6275,-68.3015,70000,95.6402,0,33.7159,-0.459355,39.2,0
4906,47.6251,-68.2675,70000,96.5041,0,33.5078,-0.462239,39.2,0
4907,47.6223,-68.2334,70000,97.3679,0,33.2966,-0.465129,39.2,0
4908,47.6192,-68.1995,70000,98.2318,0,33.0805,-0.468015,39.2,0
4909,47.6157,-68.1656,70000,99.0956,0,32.8609,-0.470915,39.2,0
4910,47.6119,-68.1318,70000,99.9595,0,32.6371,-0.473805,39.2,0
4911,47.6077,-68.0981,70000,100.823,0,32.4096,-0.476692,39.2,0
4912,47.6032,-68.0645,70000,101.687,0,32.1769,-0.479572,39.2,0
4913,47.5983,-68.031,70000,102.551,0,31.9416,-0.482448,39.2,0
4914,47.5931,-67.9976,70000,103.415,0,31.7024,-0.485329,39.2,0
4915,47.5876,-67.9643,70000,104.279,0,31.4585,-0.488197,39.2,0
4916,47.5817,-67.9312,70000,105.143,0,31.2111,-0.491046,39.2,0
4917,47.5755,-67.8982,70000,106.006,0,30.9597,-0.493895,39.2,0
4918,47.569,-67.8654,70000,106.87,0,30.7049,-0.496741,39.2,0
4919,47.5621,-67.8327,70000,107.734,0,30.4462,-0.499558,39.2,0
4920,47.5549,-67.8002,70000,108.598,0,30.1837,-0.50238,39.2,0
4921,47.5474,-67.7678,70000,109.462,0,29.9179,-0.505187,39.2,0
4922,47.5395,-67.7356,70000,110.326,0,29.6479,-0.507962,39.2,0
4923,47.5313,-67.7036,70000,111.189,0,29.3752,-0.510725,39.2,0
4924,47.5228,-67.6718,70000,112.053,0,29.0984,-0.513483,39.2,0
4925,47.514,-67.6402,70000,112.917,0,28.8185,-0.51621,39.2,0
4926,47.5048,-67.6088,70000,113.781,0,28.5352,-0.518917,39.2,0
4927,47.4954,-67.5776,70000,114.645,0,28.249,-0.521619,39.2,0
4928,47.4856,-67.5467,70000,115.509,0,27.9594,-0.524279,39.2,0
4929,47.4755,-67.5159,70000,116.373,0,27.6667,-0.526915,39.2,0
4930,47.465,-67.4854,70000,117.236,0,27.3707,-0.529536,39.2,0
4931,47.4543,-67.4551,70000,118.1,0,27.0723,-0.532117,39.2,0
4932,47.4433,-67.4251,70000,118.964,0,26.7708,-0.534681,39.2,0
4933,47.4319,-67.3954,70000,119.828,0,26.4664,-0.537205,39.2,0
4934,47.4203,-67.3659,70000,120.692,0,26.1593,-0.539709,39.2,0
4935,47.4084,-67.3367,70000,121.556,0,25.8505,-0.542176,39.2,0
4936,47.3961,-67.3077,70000,122.419,0,25.5386,-0.544613,39.2,0
4937,47.3836,-67.279,70000,123.283,0,25.2242,-0.547007,39.2,0
4938,47.3708,-67.2507,70000,124.147,0,24.908,-0.549372,39.2,0
4939,47.3577,-67.2226,70000,125.011,0,24.5895,-0.5517,39.2,0
4940,47.3443,-67.1948,70000,125.875,0,24.2689,-0.553982,39.2,0
4941,47.3306,-67.1673,70000,126.739,0,23.9474,-0.55624,39.2,0
4942,47.3166,-67.1402,70000,127.602,0,23.6228,-0.558453,39.2,0
4943,47.3024,-67.1133,70000,128.466,0,23.2971,-0.560613,39.2,0
4944,47.2879,-67.0868,70000,129.33,0,22.9701,-0.56274,39.2,0
4945,47.2731,-67.0606,70000,130.194,0,22.6422,-0.564832,39.2,0
4946,47.2581,-67.0348,70000,131.058,0,22.3119,-0.566864,39.2,0
4947,47.2428,-67.0093,70000,131.922,0,21.9813,-0.568868,39.2,0
4948,47.2272,-66.9842,70000,132.786,0,21.6496,-0.570818,39.2,0
4949,47.2114,-66.9594,70000,133.649,0,21.3169,-0.572722,39.2,0
4950,47.1953,-66.9349,70000,134.513,0,20.9839,-0.574577,39.2,0
